"","Category","When","Count"
"1","Confirmed","22-1-2020",0
"2","Recovered","22-1-2020",0
"3","Death","22-1-2020",0
"4","Confirmed","23-1-2020",0
"5","Recovered","23-1-2020",0
"6","Death","23-1-2020",0
"7","Confirmed","24-1-2020",0
"8","Recovered","24-1-2020",0
"9","Death","24-1-2020",0
"10","Confirmed","25-1-2020",0
"11","Recovered","25-1-2020",0
"12","Death","25-1-2020",0
"13","Confirmed","26-1-2020",0
"14","Recovered","26-1-2020",0
"15","Death","26-1-2020",0
"16","Confirmed","27-1-2020",0
"17","Recovered","27-1-2020",0
"18","Death","27-1-2020",0
"19","Confirmed","28-1-2020",0
"20","Recovered","28-1-2020",0
"21","Death","28-1-2020",0
"22","Confirmed","29-1-2020",0
"23","Recovered","29-1-2020",0
"24","Death","29-1-2020",0
"25","Confirmed","30-1-2020",0
"26","Recovered","30-1-2020",0
"27","Death","30-1-2020",0
"28","Confirmed","31-1-2020",0
"29","Recovered","31-1-2020",0
"30","Death","31-1-2020",0
"31","Confirmed","1-2-2020",0
"32","Recovered","1-2-2020",0
"33","Death","1-2-2020",0
"34","Confirmed","2-2-2020",0
"35","Recovered","2-2-2020",0
"36","Death","2-2-2020",0
"37","Confirmed","3-2-2020",0
"38","Recovered","3-2-2020",0
"39","Death","3-2-2020",0
"40","Confirmed","4-2-2020",0
"41","Recovered","4-2-2020",0
"42","Death","4-2-2020",0
"43","Confirmed","5-2-2020",0
"44","Recovered","5-2-2020",0
"45","Death","5-2-2020",0
"46","Confirmed","6-2-2020",0
"47","Recovered","6-2-2020",0
"48","Death","6-2-2020",0
"49","Confirmed","7-2-2020",0
"50","Recovered","7-2-2020",0
"51","Death","7-2-2020",0
"52","Confirmed","8-2-2020",0
"53","Recovered","8-2-2020",0
"54","Death","8-2-2020",0
"55","Confirmed","9-2-2020",0
"56","Recovered","9-2-2020",0
"57","Death","9-2-2020",0
"58","Confirmed","10-2-2020",0
"59","Recovered","10-2-2020",0
"60","Death","10-2-2020",0
