"","When","Category","Count"
"1",2020-02-01,"Confirmed",0
"2",2020-03-01,"Confirmed",0
"3",2020-04-01,"Confirmed",4
"4",2020-02-10,"Confirmed",0
"5",2020-03-10,"Confirmed",0
"6",2020-04-10,"Confirmed",3
"7",2020-02-11,"Confirmed",0
"8",2020-03-11,"Confirmed",0
"9",2020-04-11,"Confirmed",0
"10",2020-02-12,"Confirmed",0
"11",2020-03-12,"Confirmed",0
"12",2020-04-12,"Confirmed",0
"13",2020-02-13,"Confirmed",0
"14",2020-03-13,"Confirmed",1
"15",2020-04-13,"Confirmed",-1
"16",2020-02-14,"Confirmed",0
"17",2020-03-14,"Confirmed",0
"18",2020-02-15,"Confirmed",0
"19",2020-03-15,"Confirmed",0
"20",2020-02-16,"Confirmed",0
"21",2020-03-16,"Confirmed",1
"22",2020-02-17,"Confirmed",0
"23",2020-03-17,"Confirmed",0
"24",2020-02-18,"Confirmed",0
"25",2020-03-18,"Confirmed",1
"26",2020-02-19,"Confirmed",0
"27",2020-03-19,"Confirmed",1
"28",2020-02-02,"Confirmed",0
"29",2020-03-02,"Confirmed",0
"30",2020-04-02,"Confirmed",3
"31",2020-02-20,"Confirmed",0
"32",2020-03-20,"Confirmed",2
"33",2020-02-21,"Confirmed",0
"34",2020-03-21,"Confirmed",3
"35",2020-01-22,"Confirmed",0
"36",2020-02-22,"Confirmed",0
"37",2020-03-22,"Confirmed",10
"38",2020-01-23,"Confirmed",0
"39",2020-02-23,"Confirmed",0
"40",2020-03-23,"Confirmed",13
"41",2020-01-24,"Confirmed",0
"42",2020-02-24,"Confirmed",0
"43",2020-03-24,"Confirmed",7
"44",2020-01-25,"Confirmed",0
"45",2020-02-25,"Confirmed",0
"46",2020-03-25,"Confirmed",0
"47",2020-01-26,"Confirmed",0
"48",2020-02-26,"Confirmed",0
"49",2020-03-26,"Confirmed",14
"50",2020-01-27,"Confirmed",0
"51",2020-02-27,"Confirmed",0
"52",2020-03-27,"Confirmed",9
"53",2020-01-28,"Confirmed",0
"54",2020-02-28,"Confirmed",0
"55",2020-03-28,"Confirmed",9
"56",2020-01-29,"Confirmed",0
"57",2020-02-29,"Confirmed",0
"58",2020-03-29,"Confirmed",6
"59",2020-02-03,"Confirmed",0
"60",2020-03-03,"Confirmed",0
"61",2020-04-03,"Confirmed",4
"62",2020-01-30,"Confirmed",0
"63",2020-03-30,"Confirmed",1
